winner_rank,winner_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced
82,29.78507871,101,11,4,96,71,60,11,15,3,3
38,25.22655715,100,7,1,66,45,41,15,14,0,0
8,23.07460643,122,9,2,106,69,52,21,16,6,7
92,24.45722108,234,10,7,195,110,87,42,30,7,10
29,23.97262149,130,14,2,111,70,52,27,15,10,10
89,21.70841889,251,10,1,182,113,78,35,25,8,12
2,31.15674196,88,3,2,78,53,45,14,14,1,1
6,29.86995209,114,21,6,86,52,48,20,16,0,0
15,19.87953457,141,9,4,130,81,59,28,17,10,11
34,30.9650924,113,20,4,112,69,58,21,19,8,10
11,26.80082136,169,2,8,125,67,49,34,20,7,9
3,21.40999316,167,15,6,163,104,83,22,25,11,16
12,23.52087611,179,12,1,143,94,70,29,22,6,8
125,29.78234086,114,42,5,111,79,70,19,21,2,3
40,27.80013689,96,15,5,74,42,37,18,14,1,2
49,23.58110883,155,10,3,128,81,58,22,18,9,13
13,27.28542094,102,16,10,87,46,43,18,15,3,4
85,19.00068446,72,4,0,62,32,26,17,10,0,0
10,28.49007529,120,10,2,93,69,57,16,17,0,0
5,20.33127995,170,11,3,127,75,60,36,23,1,2
38,25.22655715,170,8,6,162,118,82,20,21,15,17
29,23.97262149,195,17,4,149,86,62,33,22,4,8
2,31.15674196,81,10,3,71,46,36,15,12,2,2
15,19.87953457,221,25,6,181,113,93,35,29,9,11
11,26.80082136,217,19,7,171,120,92,22,26,10,13
3,21.40999316,90,9,1,61,27,26,20,11,1,1
125,29.78234086,88,22,4,85,55,51,18,16,0,0
13,27.28542094,102,10,7,96,51,38,20,13,9,11
10,28.49007529,141,8,3,106,77,60,18,19,3,5
38,25.22655715,206,13,3,164,105,69,30,25,8,14
2,31.15674196,133,7,6,98,62,45,16,16,5,9
11,26.80082136,193,7,6,140,89,69,25,22,8,12
125,29.78234086,147,30,9,134,82,73,28,22,4,5
10,28.49007529,115,15,5,94,64,49,19,14,1,2
2,31.15674196,160,9,4,114,65,51,31,20,4,6
125,29.78234086,182,35,12,172,107,86,29,26,6,9
10,28.49007529,180,30,9,161,98,74,29,24,11,15
125,29.78234086,182,27,15,164,91,74,37,26,3,6
162,28.68172485,137,2,2,76,43,33,21,14,1,3
82,24.32306639,128,4,7,111,68,46,22,15,6,8
69,18.66666667,69,8,3,57,27,25,15,10,0,1
65,34.32169747,59,3,2,36,23,21,7,7,0,0
53,27.6386037,124,2,3,85,48,34,20,16,2,6
88,23.02806297,111,1,3,64,46,28,10,10,4,7
100,23.01711157,75,4,0,53,24,18,17,9,4,6
71,20.78028747,126,9,6,99,49,36,25,14,9,12
75,20.27926078,77,3,2,68,42,33,9,10,3,5
122,27.75085558,87,3,2,66,37,24,13,10,4,7
179,21.33880903,55,6,1,52,32,27,10,9,2,3
73,21.71937029,83,0,1,60,32,21,18,11,3,5
81,25.32238193,80,4,2,76,40,22,21,9,4,6
601,31.09924709,120,6,5,104,61,51,22,16,1,3
98,24.48459959,90,3,1,58,42,29,8,10,3,5
59,25.03216975,90,3,2,72,33,30,17,11,4,5
82,24.32306639,143,7,5,114,68,43,22,15,11,15
69,18.66666667,63,4,2,48,27,23,13,9,1,2
53,27.6386037,113,5,2,70,48,36,9,11,3,5
100,23.01711157,99,5,0,78,45,38,18,12,1,3
75,20.27926078,98,2,2,56,26,20,21,10,0,2
73,21.71937029,102,4,3,88,54,41,21,14,3,4
81,25.32238193,83,6,2,80,51,38,20,14,6,7
59,25.03216975,111,4,1,91,48,34,28,15,2,4
69,18.66666667,49,6,0,42,31,24,9,8,0,0
53,27.6386037,64,6,0,45,27,21,12,9,0,1
73,21.71937029,64,3,1,52,39,28,8,9,0,1
81,25.32238193,98,2,2,77,46,32,19,13,4,6
69,18.66666667,120,11,4,79,46,38,20,12,1,2
81,25.32238193,84,4,4,77,42,33,20,13,0,2
69,18.66666667,67,7,2,49,30,26,15,10,0,0
20,24.8843258,112,8,2,78,44,36,21,15,0,2
131,28.66529774,60,2,2,39,24,20,8,7,0,1
156,25.44284736,134,11,2,104,61,42,19,16,2,7
88,24.83504449,124,19,5,104,64,52,15,14,9,12
38,26.39288159,72,2,3,62,33,20,17,9,5,7
111,19.53730322,82,3,5,77,49,37,15,12,7,9
170,23.1430527,138,3,6,118,68,51,22,16,5,8
82,26.81177276,85,6,1,60,33,30,15,10,1,1
60,27.84941821,77,5,3,50,24,19,12,9,0,2
136,20.83504449,64,3,2,54,36,26,10,9,1,3
108,20.63518138,122,9,7,87,52,35,15,13,6,10
48,21.9301848,90,8,7,103,54,35,27,10,10,11
76,22.32717317,87,4,4,61,33,29,15,10,0,1
115,21.53319644,86,1,3,56,35,23,12,10,1,3
107,26.9431896,64,6,0,51,27,21,14,9,1,2
26,27.6659822,64,2,1,48,29,19,10,8,2,4
20,24.8843258,134,5,7,92,60,49,12,15,2,4
156,25.44284736,68,1,1,45,27,20,8,7,4,6
111,19.53730322,52,2,1,42,27,19,8,7,2,3
82,26.81177276,72,4,4,55,29,21,14,8,2,3
60,27.84941821,19,2,0,10,7,7,1,2,0,0
108,20.63518138,55,0,2,45,26,18,13,7,1,1
76,22.32717317,101,2,1,28,22,15,4,4,1,1
107,26.9431896,117,5,5,94,48,35,17,14,9,15
20,24.8843258,84,0,0,64,43,33,6,10,4,6
111,19.53730322,75,2,0,50,39,23,6,8,3,5
60,27.84941821,122,1,2,89,56,42,17,12,9,9
107,26.9431896,140,11,4,98,44,37,30,16,7,9
20,24.8843258,79,5,2,62,41,30,9,11,0,3
60,27.84941821,93,4,1,71,53,36,11,11,2,3
20,24.8843258,162,11,2,109,78,53,15,15,9,12
6,27.61670089,64,1,4,59,34,26,14,9,4,5
50,19.74811773,73,3,4,77,43,27,22,11,8,9
78,24.72553046,78,6,4,71,27,18,26,11,8,10
16,26.52429843,55,7,0,44,29,25,9,9,0,1
17,23.49623546,57,8,3,47,27,24,12,9,0,0
30,27.55373032,136,15,7,123,61,46,30,16,6,9
36,30.04517454,84,5,1,64,41,32,12,11,1,2
85,34.74332649,137,6,7,95,62,45,14,16,2,6
18,28.81040383,57,4,0,44,27,21,11,7,4,4
103,30.89938398,146,13,5,107,67,61,22,17,1,1
47,28.06023272,105,7,5,68,44,34,11,10,3,3
39,24.24093087,116,3,7,83,37,31,23,14,1,4
22,23.84941821,52,5,0,43,33,28,2,6,5,5
43,26.52977413,39,2,1,37,26,23,5,7,0,0
28,23.73990418,90,12,5,64,32,25,15,11,3,5
7,21.67830253,107,14,2,84,41,35,29,16,1,2
6,27.61670089,83,10,5,74,35,28,23,11,5,6
16,26.52429843,68,10,2,57,32,26,16,10,1,1
17,23.49623546,81,16,3,61,37,32,12,10,3,3
85,34.74332649,95,3,3,84,52,34,14,9,8,10
103,30.89938398,75,9,2,52,27,20,17,9,1,2
39,24.24093087,80,5,8,55,22,15,18,9,3,5
43,26.52977413,116,1,4,85,53,36,15,12,5,10
28,23.73990418,119,8,0,75,42,32,20,14,2,5
6,27.61670089,74,9,4,59,35,30,14,11,3,4
17,23.49623546,70,8,5,54,32,25,11,9,1,2
39,24.24093087,129,7,5,104,60,42,19,11,11,13
28,23.73990418,104,8,5,85,46,36,21,16,3,6
6,27.61670089,62,6,2,54,30,23,14,8,5,5
39,24.24093087,77,7,2,55,27,20,16,9,2,3
6,27.61670089,104,6,4,57,28,25,16,11,0,1
43,24.8788501,113,6,3,107,64,41,25,16,4,7
59,22.58179329,82,1,2,61,28,24,17,10,3,4
103,28.21081451,120,3,1,87,58,44,16,14,4,6
10,26.49418207,54,5,1,44,25,21,13,8,2,2
5,24.76386037,103,2,1,69,36,30,20,11,0,0
109,18.37371663,107,7,8,91,35,29,31,14,2,5
251,19.23613963,109,5,2,97,49,35,27,14,9,11
9,26.97878166,112,8,9,86,44,30,23,14,3,7
25,25.19096509,75,5,4,61,30,25,20,10,0,0
53,24.85968515,70,7,3,53,30,24,17,9,3,3
125,30.85284052,116,9,6,91,43,35,21,16,3,7
6,20.02464066,64,6,0,46,25,22,13,8,1,1
98,27.59753593,98,2,5,82,48,34,16,11,8,10
68,21.4017796,74,2,1,59,37,31,11,10,3,4
135,23.27446954,119,6,3,81,52,41,14,14,1,4
40,32.3613963,144,3,2,122,66,41,32,16,13,16
59,22.58179329,107,4,1,85,50,38,24,14,2,3
10,26.49418207,68,3,4,51,25,16,16,9,4,6
5,24.76386037,58,1,1,39,23,21,11,8,0,0
251,19.23613963,111,9,2,94,47,38,21,15,3,6
25,25.19096509,102,1,7,82,46,30,16,13,5,9
6,20.02464066,116,5,7,78,42,30,18,12,6,9
68,21.4017796,95,6,5,69,38,26,14,10,4,7
40,32.3613963,119,0,1,89,49,31,22,12,8,11
59,22.58179329,69,0,2,50,31,22,12,9,0,1
5,24.76386037,104,6,4,87,54,42,17,14,5,7
6,20.02464066,88,3,4,64,30,24,18,10,3,4
40,32.3613963,129,2,3,90,55,41,18,14,5,7
5,24.76386037,112,4,1,89,63,44,14,12,7,9
40,32.3613963,95,3,0,81,50,33,17,10,10,11
40,32.3613963,85,1,0,45,24,19,10,9,0,2
114,21.2019165,111,11,2,87,58,41,16,14,5,7
127,23.80835044,86,6,6,65,39,30,17,10,4,4
106,25.33607118,130,1,5,84,51,36,15,14,4,8
61,23.53182752,,,,,,,,,,
79,21.9192334,111,6,2,76,48,34,14,12,5,7
175,20.72005476,108,6,3,75,45,30,17,12,6,8
186,21.11704312,74,5,1,53,36,29,9,10,0,1
105,22.19301848,138,8,2,91,55,41,22,15,3,4
80,30.41478439,60,6,1,38,25,22,10,8,0,0
524,25.42642026,70,8,0,61,43,31,12,9,3,3
110,25.20465435,94,8,0,72,47,37,13,11,4,5
97,24.82135524,,,,,,,,,,
124,24.98836413,70,7,1,51,26,26,17,9,1,1
126,25.5578371,106,6,5,61,31,21,14,11,3,7
115,23.65776865,68,2,1,55,33,26,11,9,4,5
24,23.79192334,83,9,5,63,38,32,11,10,4,5
114,21.2019165,84,5,3,54,27,20,15,8,1,2
106,25.33607118,132,4,4,95,45,30,29,16,1,6
175,20.72005476,157,2,1,73,45,31,15,13,5,9
105,22.19301848,59,5,0,41,30,26,5,8,1,2
80,30.41478439,88,6,1,65,36,27,19,11,4,5
97,24.82135524,102,10,0,65,46,35,7,9,4,5
124,24.98836413,88,2,2,69,36,29,16,10,5,6
24,23.79192334,69,5,1,49,28,21,12,8,1,2
106,25.33607118,95,5,4,79,47,33,13,12,5,9
105,22.19301848,69,5,1,48,26,22,15,10,1,2
80,30.41478439,81,5,1,45,28,22,10,8,0,1
124,24.98836413,102,5,2,80,43,32,20,11,6,8
106,25.33607118,81,5,1,58,30,24,22,10,0,0
80,30.41478439,124,4,1,92,59,33,19,12,8,12
106,25.33607118,145,2,3,91,53,33,21,14,3,7
68,25.24298426,62,8,2,56,34,23,15,8,1,1
52,19.20876112,106,7,1,100,69,49,19,15,5,6
101,23.22245038,86,3,0,59,32,23,23,11,0,1
92,23.23887748,67,3,0,47,32,24,11,9,2,3
58,32.72553046,127,3,1,80,50,32,15,13,7,12
98,30.68856947,64,5,1,43,31,28,8,9,0,0
59,24.76933607,54,5,0,40,22,17,12,7,0,0
65,27.27994524,134,9,6,107,56,45,33,17,3,4
236,18.9596167,119,0,0,91,69,48,13,15,3,5
62,30.49691992,64,8,3,46,29,25,11,9,0,0
56,24.3559206,71,1,3,61,32,27,20,11,1,2
80,21.76591376,148,8,1,95,50,34,24,17,6,11
275,24.93360712,86,5,1,75,46,28,21,12,6,8
117,26.87474333,78,2,5,65,31,25,12,10,5,8
67,32.08487337,93,7,5,69,38,25,20,10,1,2
55,27.96167009,109,6,1,70,45,36,16,12,0,1
1,24.84599589,41,7,1,32,17,16,12,7,0,0
52,19.20876112,150,10,2,123,78,59,21,17,4,7
37,24.92265572,90,6,4,57,32,26,15,9,2,2
92,23.23887748,54,1,0,36,27,21,5,7,0,1
19,23.52908966,108,5,7,90,46,34,22,11,8,10
42,22.60095825,85,2,3,69,40,28,19,11,3,4
33,26.31895962,59,4,2,44,27,19,12,8,2,3
65,27.27994524,134,6,10,86,42,33,24,11,8,8
236,18.9596167,117,1,2,81,53,37,9,11,6,10
62,30.49691992,68,8,4,58,31,23,13,9,0,2
41,22.90485969,55,1,1,49,35,26,7,8,1,2
11,23.57837098,141,5,2,111,60,40,22,14,12,16
25,25.90006845,53,3,0,45,24,18,11,8,1,2
39,23.6386037,112,9,5,100,69,42,14,15,5,10
66,26.05886379,139,8,0,92,66,48,15,16,3,5
6,27.40588638,77,3,5,63,35,30,15,11,4,5
1,24.84599589,59,6,4,49,24,22,15,8,1,1
37,24.92265572,99,7,1,58,36,30,13,11,1,2
42,22.60095825,86,4,3,67,43,31,13,12,1,3
33,26.31895962,71,1,3,52,34,28,10,9,2,2
236,18.9596167,130,1,1,95,64,44,19,16,2,4
41,22.90485969,90,5,3,72,49,36,8,10,4,6
39,23.6386037,84,5,1,70,45,35,12,11,0,1
6,27.40588638,73,5,0,47,32,28,12,10,0,0
1,24.84599589,137,7,5,108,59,47,23,16,6,7
33,26.31895962,160,7,3,124,74,52,30,18,12,14
236,18.9596167,136,0,0,97,76,49,11,15,4,7
39,23.6386037,107,10,5,89,54,37,16,14,5,9
1,24.84599589,130,13,1,70,47,36,11,11,2,4
39,23.6386037,90,3,5,54,25,19,14,8,2,3
1,24.84599589,122,12,4,116,55,42,30,14,11,12
11,27.45516769,109,11,5,68,31,26,21,11,4,5
61,23.57015743,62,1,5,52,21,16,19,8,1,1
56,27.00342231,138,4,2,82,50,39,17,14,3,6
50,24.96098563,84,6,4,65,22,17,23,8,5,6
22,27.85763176,102,6,2,98,58,44,17,15,4,7
84,18.92950034,82,3,2,64,36,26,17,10,3,5
82,23.43052704,163,3,3,116,77,52,21,15,8,11
48,26.091718,129,8,2,100,64,42,25,16,2,5
43,20.59411362,62,0,2,51,34,29,6,8,4,5
102,23.41957563,64,8,2,45,24,24,12,9,0,0
118,23.32922656,90,11,1,61,41,32,11,10,2,3
32,19.40041068,46,2,1,32,22,20,8,7,0,0
36,26.25051335,80,3,0,57,37,29,9,8,4,5
108,21.724846,116,3,3,84,57,45,10,15,2,5
54,24.54757016,47,3,3,32,16,13,10,5,3,3
65,19.72895277,130,3,8,86,51,38,18,14,3,5
61,23.57015743,100,6,1,69,42,29,16,11,4,6
56,27.00342231,88,6,0,44,25,20,14,8,0,0
22,27.85763176,131,5,1,105,69,50,21,16,9,11
82,23.43052704,60,0,0,39,31,20,5,6,2,3
102,23.41957563,101,6,0,69,35,27,17,10,2,4
32,19.40041068,81,4,4,68,51,38,10,10,4,5
36,26.25051335,61,4,0,36,24,19,10,7,1,1
65,19.72895277,87,3,6,80,43,27,23,10,6,7
56,27.00342231,38,2,0,22,12,11,7,5,0,0
22,27.85763176,76,1,2,46,23,17,10,9,1,4
32,19.40041068,85,1,1,66,50,38,11,11,2,3
65,19.72895277,151,1,5,104,67,46,18,15,9,12
56,27.00342231,153,6,7,110,70,38,19,14,6,13
65,19.72895277,90,0,4,65,41,29,12,10,2,4
56,27.00342231,109,4,3,81,40,27,19,11,7,10
6,20.31211499,60,2,0,49,28,25,9,8,0,0
128,29.76317591,75,12,7,76,37,32,27,12,1,1
54,34.45585216,76,8,5,62,39,31,11,11,2,4
323,23.28542094,103,12,5,90,55,40,18,15,3,6
15,19.86036961,71,2,4,67,45,37,11,11,3,4
193,25.18822724,,,,,,,,,,
107,23.18138261,55,5,1,42,25,23,9,8,0,0
31,25.2073922,112,6,8,92,51,39,20,16,1,4
27,27.66324435,62,5,4,53,27,23,15,9,0,0
61,23.56194387,59,1,2,53,31,26,11,9,3,4
310,22.81724846,99,5,4,78,38,28,27,13,1,3
56,20.91444216,81,6,2,51,24,19,18,10,0,2
28,24.77481177,65,2,4,56,31,24,18,10,0,0
145,25.3798768,51,0,1,50,39,26,7,9,0,2
69,19.1321013,55,4,3,59,31,27,10,9,6,8
91,23.1156742,66,11,4,60,34,32,15,11,2,2
6,20.31211499,75,6,2,66,38,31,16,11,2,3
323,23.28542094,127,4,4,94,56,42,15,14,5,7
15,19.86036961,43,8,1,43,28,23,8,7,2,2
107,23.18138261,26,1,1,14,5,4,6,3,0,0
61,23.56194387,68,5,1,59,36,29,11,9,2,3
56,20.91444216,,,,,,,,,,
28,24.77481177,88,17,4,65,32,29,17,10,3,4
69,19.1321013,79,4,4,70,37,28,20,11,1,2
6,20.31211499,78,2,3,67,36,25,18,9,6,7
15,19.86036961,110,12,7,116,67,53,26,16,8,8
61,23.56194387,66,5,1,54,30,22,14,10,5,7
69,19.1321013,72,1,1,49,29,24,13,10,1,2
6,20.31211499,75,2,2,67,37,26,14,9,4,6
61,23.56194387,80,3,1,63,42,32,13,11,2,3
6,20.31211499,82,1,0,54,29,20,16,9,0,1
19,27.43874059,76,7,4,64,31,25,15,10,6,8
55,27.37577002,139,24,9,117,68,54,27,17,2,3
61,28.48459959,120,3,2,79,46,34,22,12,4,6
14,26.40930869,57,3,1,48,19,17,16,8,3,4
10,30.02327173,131,24,11,99,59,54,18,17,2,3
203,21.14715948,102,10,6,85,40,34,20,10,11,11
28,23.73442847,78,2,3,71,42,30,13,11,9,12
69,26.90759754,71,11,7,75,37,28,18,11,3,5
38,23.00068446,108,4,5,67,44,33,11,10,1,3
89,30.35728953,81,8,3,63,39,33,9,10,3,5
67,28.44900753,76,2,2,58,37,30,16,10,1,1
12,23.67419576,139,13,3,123,77,55,24,16,8,10
16,23.38124572,113,7,4,97,53,41,25,16,9,11
39,19.3045859,100,2,4,76,47,38,18,15,0,2
53,29.40999316,48,0,0,43,24,20,12,7,4,4
46,24.86516085,171,7,2,104,38,31,43,15,6,6
19,27.43874059,64,8,2,52,32,29,14,10,1,1
14,26.40930869,64,4,1,48,28,23,12,8,4,4
10,30.02327173,56,8,5,47,29,26,10,9,0,0
69,26.90759754,121,5,2,94,43,28,33,15,2,4
89,30.35728953,136,9,3,93,49,33,25,15,3,6
12,23.67419576,97,9,3,75,47,35,17,11,6,7
16,23.38124572,121,4,9,96,50,43,21,14,5,6
53,29.40999316,64,1,3,52,31,22,10,7,8,9
14,26.40930869,135,17,3,97,52,41,16,16,3,8
10,30.02327173,71,11,2,53,33,31,13,11,0,0
12,23.67419576,108,3,2,67,43,31,13,13,2,5
16,23.38124572,72,9,2,55,29,27,13,9,3,3
10,30.02327173,74,11,3,57,41,36,8,11,0,1
16,23.38124572,101,9,3,72,35,29,20,11,2,3
16,23.38124572,101,15,5,79,50,40,14,13,3,4
7,21.62080767,64,4,2,54,27,22,18,9,2,2
100,30.84188912,82,11,10,74,39,30,20,11,1,2
88,20.58316222,78,5,0,62,43,30,15,12,1,2
215,29.15263518,122,3,2,83,44,34,21,12,4,7
23,25.00479124,94,4,2,68,41,26,14,9,5,7
57,28.54209446,121,4,3,33,18,14,9,6,2,3
118,36.23271732,99,8,3,71,29,23,21,10,5,7
103,28.27104723,75,2,3,63,37,26,18,10,2,2
121,22.24229979,94,5,3,87,44,34,27,15,0,2
119,20.38056126,114,3,3,86,53,36,18,12,4,7
268,26.89938398,55,5,3,39,27,25,5,8,0,1
28,23.68240931,85,7,8,78,38,27,14,11,9,14
698,30.44490075,100,11,2,60,35,28,15,11,0,1
62,25.37713895,75,9,1,67,35,22,23,9,6,6
90,24.68720055,71,5,3,52,26,20,14,9,0,1
6,27.55920602,89,13,1,67,35,25,19,11,3,6
7,21.62080767,86,8,0,64,37,29,20,11,0,1
88,20.58316222,57,8,5,55,31,28,10,9,2,3
23,25.00479124,60,2,0,42,27,20,11,8,2,3
103,28.27104723,94,1,0,66,43,26,18,10,4,5
121,22.24229979,56,3,2,52,32,26,11,9,1,2
28,23.68240931,55,9,3,52,26,22,17,10,0,1
62,25.37713895,68,4,2,49,31,24,11,9,2,3
6,27.55920602,103,7,6,89,44,36,23,15,4,6
7,21.62080767,81,11,3,64,39,30,15,12,1,3
103,28.27104723,143,5,1,107,57,37,28,15,7,11
28,23.68240931,74,7,1,63,38,31,12,10,1,3
6,27.55920602,89,7,5,71,33,27,17,10,4,6
7,21.62080767,156,6,1,109,54,35,29,17,3,7
6,27.55920602,132,5,6,99,47,44,31,16,1,2
7,21.62080767,55,6,1,43,24,22,12,8,1,1
90,22.66940452,103,5,3,80,57,39,9,11,6,9
90,22.66940452,71,3,2,50,23,15,16,8,4,6
7,27.25256674,103,6,4,93,48,33,25,14,10,13
7,27.25256674,118,7,7,97,59,42,17,15,4,7
12,23.42505133,104,2,1,63,39,33,11,10,1,2
5,29.77412731,114,8,2,90,54,42,25,16,3,5
2,21.31416838,104,2,3,72,40,29,17,12,0,3
5,29.77412731,111,3,3,104,70,47,15,14,10,13
10,22.97878166,65,3,0,44,25,22,14,9,0,0
2,21.31416838,110,4,8,80,33,26,22,11,6,9
12,23.42505133,62,2,1,41,22,16,9,7,0,1
7,27.25256674,59,3,0,50,34,25,13,9,1,1
14,27.18959617,64,9,4,57,35,30,10,9,4,5
8,28.39425051,79,5,4,76,47,30,14,9,10,12
14,27.18959617,143,5,16,111,56,37,22,16,7,13
13,27.11019849,135,4,1,84,43,27,20,13,4,9
13,27.11019849,93,3,3,64,28,24,17,9,5,6
13,27.11019849,80,5,0,52,28,17,18,8,3,4
8,28.39425051,58,4,0,45,32,27,9,9,0,0
28,23.87679671,109,4,6,91,52,29,24,13,10,14
61,25.9192334,72,5,1,60,43,30,11,9,4,4
6,20.23545517,72,1,1,39,19,10,12,7,2,4
2,20.71457906,109,6,3,72,41,34,17,13,1,2
7,23.45790554,82,8,2,65,40,33,13,11,0,1
7,23.45790554,71,11,4,66,36,27,19,10,3,3
7,23.45790554,72,5,3,53,26,20,17,9,1,2
2,20.71457906,115,2,1,80,49,37,19,14,1,2
2,20.71457906,92,8,3,73,36,26,16,10,7,10
2,20.71457906,97,4,4,81,42,28,22,10,4,5
2,20.71457906,90,4,2,60,28,23,17,9,5,6
3,31.54004107,73,0,0,50,27,17,15,9,2,4
6,27.73169062,137,13,10,109,56,43,23,15,5,8
6,27.73169062,66,7,0,52,31,28,13,10,1,1
6,27.73169062,97,9,2,95,55,39,22,14,12,15
13,30.16563997,111,28,9,112,64,54,21,15,10,10
4,21.74948665,119,8,3,101,58,45,24,12,10,11
4,21.74948665,85,7,2,57,35,30,13,10,0,1
11,28.10677618,,,,,,,,,,
6,19.94798084,,,,,,,,,,
6,19.94798084,,,,,,,,,,
11,28.10677618,,,,,,,,,,
2,24.40520192,,,,,,,,,,
103,29.82067077,,,,,,,,,,
2,24.40520192,,,,,,,,,,
65,27.70431212,,,,,,,,,,
54,25.95208761,,,,,,,,,,
5,24.68720055,,,,,,,,,,
54,25.95208761,,,,,,,,,,
31,25.87268994,,,,,,,,,,
75,26.92676249,,,,,,,,,,
7,26.9650924,,,,,,,,,,
14,23.08829569,,,,,,,,,,
7,26.9650924,,,,,,,,,,
12,23.137577,,,,,,,,,,
16,22.69130732,,,,,,,,,,
12,23.137577,,,,,,,,,,
42,28.15879535,,,,,,,,,,
22,19.49623546,,,,,,,,,,
28,23.67693361,,,,,,,,,,
22,19.49623546,,,,,,,,,,
130,18.4366872,,,,,,,,,,
20,22.84462697,,,,,,,,,,
24,27.02532512,,,,,,,,,,
20,22.84462697,,,,,,,,,,
33,23.58932238,,,,,,,,,,
107,22.81724846,,,,,,,,,,
29,24.41067762,,,,,,,,,,
98,30.81451061,,,,,,,,,,
26,24.44353183,,,,,,,,,,
56,26.43394935,,,,,,,,,,
371,29.56605065,,,,,,,,,,
56,26.43394935,,,,,,,,,,
432,27.50171116,,,,,,,,,,
163,25.95756331,,,,,,,,,,
317,19.54004107,,,,,,,,,,
352,23.89048597,,,,,,,,,,
317,19.54004107,,,,,,,,,,
18,25.45927447,,,,,,,,,,
38,22.16016427,,,,,,,,,,
18,25.45927447,,,,,,,,,,
38,22.16016427,,,,,,,,,,
358,29.42368241,,,,,,,,,,
532,20.91444216,,,,,,,,,,
532,20.91444216,,,,,,,,,,
464,28.60780287,,,,,,,,,,
227,28.55852156,,,,,,,,,,
204,23.89322382,,,,,,,,,,
424,24.45995893,,,,,,,,,,
227,28.55852156,,,,,,,,,,
80,25.09240246,,,,,,,,,,
261,23.32922656,,,,,,,,,,
80,25.09240246,,,,,,,,,,
,28.23545517,,,,,,,,,,
116,21.64818617,,,,,,,,,,
154,24.37782341,,,,,,,,,,
154,24.37782341,,,,,,,,,,
215,27.1156742,,,,,,,,,,
233,27.6386037,,,,,,,,,,
763,24.81861739,,,,,,,,,,
233,27.6386037,,,,,,,,,,
1076,25.04859685,,,,,,,,,,
401,25.12525667,,,,,,,,,,
123,25.2128679,,,,,,,,,,
123,25.2128679,,,,,,,,,,
401,25.12525667,,,,,,,,,,
481,22.93771389,,,,,,,,,,
126,20.19986311,,,,,,,,,,
126,20.19986311,,,,,,,,,,
390,21.79329227,,,,,,,,,,
215,26.49418207,,,,,,,,,,
182,21.2019165,,,,,,,,,,
182,21.2019165,,,,,,,,,,
215,26.49418207,,,,,,,,,,
,25.68104038,,,,,,,,,,
106,27.88774812,,,,,,,,,,
,17.76317591,,,,,,,,,,
,19.16495551,,,,,,,,,,
,25.8973306,,,,,,,,,,
181,28.64887064,,,,,,,,,,
,27.11841205,,,,,,,,,,
,25.8973306,,,,,,,,,,
,26.09993155,,,,,,,,,,
611,17.95756331,,,,,,,,,,
491,19.43874059,,,,,,,,,,
,26.09993155,,,,,,,,,,
309,23.01984942,,,,,,,,,,
50,22.71594798,,,,,,,,,,
492,18.93771389,,,,,,,,,,
618,28.67351129,,,,,,,,,,
20,29.60438056,,,,,,,,,,
144,26.22587269,,,,,,,,,,
20,29.60438056,,,,,,,,,,
189,22.91854894,,,,,,,,,,
885,24.87611225,,,,,,,,,,
435,29.30321697,,,,,,,,,,
338,25.94113621,,,,,,,,,,
131,25.93292266,,,,,,,,,,
1235,19.44969199,,,,,,,,,,
1235,19.44969199,,,,,,,,,,
,39.62765229,,,,,,,,,,
,30.29158111,,,,,,,,,,
1329,30.06707734,,,,,,,,,,
1329,20.34770705,,,,,,,,,,
,20.5119781,,,,,,,,,,
230,24.22724162,,,,,,,,,,
222,25.39356605,,,,,,,,,,
230,24.22724162,,,,,,,,,,
373,19.86858316,,,,,,,,,,
845,24.63791923,,,,,,,,,,
,26.4202601,,,,,,,,,,
,24.47091034,,,,,,,,,,
,17.70294319,,,,,,,,,,
,29.82614648,,,,,,,,,,
,19.87953457,,,,,,,,,,
,23.38945927,,,,,,,,,,
,19.87953457,,,,,,,,,,
,31.24435318,,,,,,,,,,
,22.41752225,,,,,,,,,,
,31.24435318,,,,,,,,,,
,24.21902806,,,,,,,,,,
289,20.88980151,,,,,,,,,,
922,15.99178645,,,,,,,,,,
922,15.99178645,,,,,,,,,,
,17.48117728,,,,,,,,,,
26,22.31348392,,,,,,,,,,
18,25.61259411,,,,,,,,,,
47,22.53524983,,,,,,,,,,
70,24.54757016,,,,,,,,,,
28,25.26762491,,,,,,,,,,
64,21.47843943,,,,,,,,,,
28,25.26762491,,,,,,,,,,
268,22.85557837,,,,,,,,,,
12,26.57084189,,,,,,,,,,
49,27.57015743,,,,,,,,,,
145,23.21697467,,,,,,,,,,
361,18.80903491,,,,,,,,,,
122,29.5523614,,,,,,,,,,
153,26.92676249,,,,,,,,,,
75,22.03969884,,,,,,,,,,
625,17.00752909,,,,,,,,,,
152,27.38124572,,,,,,,,,,
42,23.73990418,,,,,,,,,,
266,28.75838467,,,,,,,,,,
42,23.73990418,,,,,,,,,,
180,21.24572211,,,,,,,,,,
217,26.70773443,,,,,,,,,,
260,19.69336071,,,,,,,,,,
336,25.47296372,,,,,,,,,,
311,26.09445585,,,,,,,,,,
435,29.45653662,,,,,,,,,,
