winner_rank,winner_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced
72,23.95345654,109,11,4,86,53,42,22,15,3,4
212,20.8569473,147,9,9,123,74,50,24,16,11,15
38,22.40383299,223,7,8,65,38,31,16,11,4,4
67,24.34223135,111,9,2,82,52,46,14,15,1,3
182,24.65160849,162,11,5,129,66,46,31,20,6,10
13,25.01848049,122,7,13,96,50,40,25,15,1,3
11,25.97672827,105,4,1,78,43,33,24,14,1,2
128,20.08213552,95,7,10,80,48,35,14,13,3,6
23,28.72826831,138,25,5,104,60,52,25,18,1,1
86,23.31279945,165,3,1,121,68,46,26,19,7,13
36,22.64750171,80,19,4,83,48,40,19,14,7,9
33,27.26351814,166,10,9,146,98,68,24,23,4,8
83,23.81382615,86,10,3,81,52,43,22,16,0,1
6,26.52429843,165,15,11,147,86,68,27,22,7,10
7,20.58590007,169,23,7,144,62,57,41,22,9,11
49,35.19780972,109,7,2,69,25,23,28,12,1,1
45,23.65229295,157,9,3,152,101,71,31,22,5,8
28,22.25051335,99,2,2,84,58,44,15,14,5,6
307,27.98083504,109,14,5,90,57,48,21,16,1,1
40,19.05544148,152,15,9,150,85,62,38,25,5,8
96,28.48186174,199,6,4,148,92,59,32,22,11,17
12,20.54209446,156,6,2,131,67,44,36,20,5,11
14,23.14852841,170,11,7,114,66,47,25,19,10,15
53,28.43258042,163,12,2,152,105,71,21,20,10,15
58,23.96988364,113,10,7,90,48,39,23,14,2,3
90,26.06160164,98,14,1,91,60,48,15,16,4,5
57,23.14579055,123,7,4,104,56,42,32,16,3,4
24,25.17727584,146,18,3,116,65,54,33,20,3,4
137,25.0349076,125,10,1,84,45,37,25,15,2,3
3,24.24640657,147,12,4,117,73,54,27,16,10,10
8,26.38193018,118,9,2,81,42,31,28,12,5,6
30,29.80698152,86,12,11,80,48,39,13,14,1,3
50,30.03969884,125,2,4,85,51,39,19,14,1,3
55,24.00273785,92,8,6,96,43,33,31,15,5,6
32,30.14099932,134,9,7,100,59,43,21,16,2,5
25,28.51471595,152,7,1,108,54,41,31,19,2,6
34,26.97604381,94,12,2,70,48,40,14,12,2,2
10,31.20328542,96,4,5,81,51,42,16,13,2,2
15,23.80561259,101,14,10,82,38,32,22,13,4,6
27,23.23613963,208,30,8,165,83,66,42,26,8,12
91,25.43189596,134,7,2,114,51,39,41,16,8,9
114,23.88774812,183,18,5,160,71,51,55,24,6,10
159,20.10951403,121,7,2,92,51,41,21,16,4,6
84,30.33538672,146,15,6,116,64,53,25,19,3,5
75,30.40109514,85,1,4,67,44,37,13,12,0,0
102,29.44832307,151,25,3,135,71,63,38,22,8,9
37,22.69678303,102,12,5,101,52,42,23,14,2,3
41,26.85831622,164,6,5,136,76,61,32,20,7,8
35,26.58453114,146,7,8,121,73,60,27,19,5,6
48,26.96783025,209,10,5,158,92,64,35,24,4,11
9,19.50718686,113,11,4,103,61,47,23,16,2,6
39,25.43737166,141,8,7,128,76,56,24,21,3,8
19,24.67351129,141,8,5,113,66,56,25,21,0,2
5,26.46132786,90,15,6,87,46,35,25,13,3,3
4,29.045859,93,12,6,70,37,32,22,13,2,2
72,23.95345654,129,11,5,100,49,42,24,16,4,6
67,24.34223135,129,9,6,95,52,40,20,15,3,6
182,24.65160849,130,6,3,95,56,47,24,16,4,5
11,25.97672827,101,9,4,77,40,28,24,14,2,4
23,28.72826831,107,14,4,74,40,31,19,13,3,5
36,22.64750171,98,8,1,81,50,37,19,14,5,7
6,26.52429843,163,8,12,141,81,56,27,21,12,18
7,20.58590007,188,11,3,121,61,45,40,23,5,9
28,22.25051335,141,7,1,104,47,32,34,17,3,6
40,19.05544148,92,15,1,88,55,48,18,14,4,4
12,20.54209446,191,9,10,139,63,49,41,23,6,10
14,23.14852841,103,7,3,65,41,34,13,13,1,3
58,23.96988364,90,14,2,69,38,33,18,12,1,1
57,23.14579055,96,20,2,68,45,42,14,14,0,0
3,24.24640657,115,5,5,84,51,40,15,14,2,4
8,26.38193018,124,14,1,94,47,41,32,16,1,1
55,24.00273785,154,5,4,120,59,41,34,19,2,6
32,30.14099932,113,6,2,73,43,42,15,14,1,1
10,31.20328542,225,12,12,154,80,63,35,25,9,15
27,23.23613963,136,17,5,105,56,43,27,15,7,7
91,25.43189596,120,14,3,81,45,39,24,15,0,1
84,30.33538672,192,14,5,143,83,62,24,22,7,13
102,29.44832307,146,18,9,124,72,54,31,20,4,7
37,22.69678303,173,22,1,121,64,47,33,20,7,10
35,26.58453114,38,10,3,30,19,17,7,6,0,0
9,19.50718686,109,7,2,80,39,29,28,14,2,2
5,26.46132786,121,9,3,101,58,49,21,17,4,6
4,29.045859,122,18,5,102,67,59,22,17,3,3
182,24.65160849,141,5,5,108,60,43,25,19,4,9
23,28.72826831,197,24,7,157,93,73,38,26,9,11
36,22.64750171,114,12,4,97,53,38,23,14,3,5
7,20.58590007,205,25,4,179,94,74,41,25,8,13
12,20.54209446,173,4,10,151,81,55,36,22,3,9
14,23.14852841,128,5,1,82,51,44,22,16,2,2
3,24.24640657,246,5,1,167,124,89,25,26,6,11
55,24.00273785,189,8,5,127,74,54,31,21,4,7
32,30.14099932,116,17,1,94,63,51,17,15,4,4
91,25.43189596,174,12,6,147,73,59,41,21,8,10
102,29.44832307,161,22,8,124,69,56,36,23,5,8
37,22.69678303,142,5,1,100,66,49,19,18,1,5
9,19.50718686,107,9,2,76,48,39,17,13,4,4
4,29.045859,108,15,3,84,49,45,22,15,3,3
23,28.72826831,115,15,4,96,52,44,28,15,2,3
7,20.58590007,83,14,2,73,39,33,20,12,4,4
14,23.14852841,180,10,3,135,72,54,30,18,14,16
32,30.14099932,257,24,3,203,134,97,34,25,17,18
91,25.43189596,153,4,5,115,63,52,39,21,1,1
9,19.50718686,112,18,3,80,42,34,21,13,3,4
4,29.045859,143,8,5,130,89,73,18,20,6,8
7,20.58590007,184,16,1,124,72,60,27,22,2,5
32,30.14099932,151,18,1,117,82,62,17,20,3,5
4,29.045859,156,18,8,118,70,58,26,17,4,5
7,20.58590007,137,14,3,119,64,51,27,17,7,10
7,20.58590007,98,12,2,82,40,34,26,14,2,2
3,20.77754962,64,11,3,58,30,28,19,10,0,0
83,27.84394251,119,9,5,89,46,38,22,16,2,5
57,24.5338809,69,5,2,43,20,16,12,8,0,1
43,27.66324435,129,7,5,116,63,44,26,16,8,12
118,23.82477755,113,5,8,97,47,35,21,13,10,14
49,28.62422998,54,2,0,48,32,29,7,8,1,1
761,29.34976044,49,0,1,38,23,19,9,7,1,2
27,24.1615332,75,8,4,62,43,35,10,13,0,2
63,22.68856947,66,8,2,58,32,26,18,10,1,1
56,22.58453114,64,5,2,53,33,28,10,9,2,2
55,25.62354552,64,7,1,45,23,20,16,9,0,0
22,22.83915127,72,10,3,51,25,21,20,10,1,1
72,22.9650924,87,1,4,68,43,30,12,10,6,8
58,27.39767283,55,1,1,52,37,28,8,8,5,5
157,28.20260096,110,5,5,97,55,34,19,12,7,11
5,26.71594798,51,8,4,47,24,16,10,8,4,7
3,20.77754962,53,10,2,43,26,23,7,8,0,1
57,24.5338809,61,2,2,36,17,17,15,8,0,0
49,28.62422998,81,6,1,58,34,26,13,10,5,7
761,29.34976044,124,5,6,101,60,42,22,15,6,8
56,22.58453114,99,5,3,53,33,28,10,10,0,1
22,22.83915127,72,7,0,49,30,25,12,10,1,2
58,27.39767283,60,6,3,48,32,27,9,8,4,4
5,26.71594798,71,6,3,63,28,22,23,10,0,1
3,20.77754962,94,7,0,78,46,32,18,13,1,4
49,28.62422998,61,2,1,42,28,25,9,8,0,0
22,22.83915127,117,3,5,83,44,31,19,14,3,7
5,26.71594798,66,8,8,87,46,32,22,10,11,12
3,20.77754962,66,5,1,51,31,27,11,10,0,1
22,22.83915127,84,2,6,62,36,28,13,10,3,4
3,20.77754962,112,14,1,90,46,29,27,14,3,6
419,27.76180698,88,13,3,84,48,35,23,14,5,6
112,24.03832991,98,6,1,69,36,26,21,11,2,4
96,20.67077344,123,9,5,126,66,49,27,15,11,13
105,28.39151266,128,24,5,108,68,54,25,16,5,6
118,22.7761807,70,0,0,56,31,21,14,9,3,5
113,27.4715948,68,8,0,63,36,31,16,10,4,4
175,21.52772074,65,2,0,44,20,17,15,8,3,4
97,27.24982888,86,7,2,87,45,34,25,14,5,6
131,23.66324435,68,9,0,55,33,23,14,9,6,7
99,20.34770705,71,3,4,55,19,14,22,10,1,3
127,30.15742642,109,9,3,78,43,33,23,12,6,7
125,34.39288159,74,4,3,59,38,28,8,9,5,7
109,23.27720739,69,3,3,59,35,24,14,9,4,6
135,23.63312799,63,7,3,49,28,22,13,10,0,2
204,34.36002738,71,5,1,60,28,22,20,9,4,4
596,26.33538672,91,17,2,79,44,35,20,11,4,4
16,23.26899384,67,15,3,61,33,29,13,9,4,4
78,29.89185489,78,14,1,74,49,36,13,11,1,3
56,23.80561259,125,2,3,87,49,35,20,15,4,8
55,22.69952088,56,3,3,47,30,25,9,9,0,1
118,22.7761807,81,3,3,63,33,26,13,9,5,6
70,29.79876797,81,10,2,68,46,36,12,13,1,3
58,26.69952088,66,7,0,54,36,27,11,9,3,3
97,27.24982888,63,10,6,61,27,22,18,9,3,4
43,27.97809719,118,7,1,91,53,36,19,14,6,10
64,27.94524298,128,5,5,96,58,44,18,12,5,6
